"","index","date","player","old_club","new_club","fee"
"193",1923,2020-07-20,"Martin Ødegaard","Real Sociedad","Real Madrid","Loan return-other"
"194",1924,2020-07-20,"David Zurutuza","Real Sociedad","Retired","Retired-Retired"
"195",1934,2020-07-20,"Ibrahim Amadou","Leganés","Sevilla","Loan return-other"
"196",1935,2020-07-20,"Sébastien Corchia","Espanyol","Sevilla","Loan return-other"
"197",1936,2020-07-20,"Carlos Fernández","Granada","Sevilla","Loan return-other"
"198",1937,2020-07-20,"Bryan Gil","Leganés","Sevilla","Loan return-other"
"199",1938,2020-07-20,"Roque Mesa","Leganés","Sevilla","Loan return-other"
"200",1939,2020-07-20,"Alejandro Pozo","Mallorca","Sevilla","Loan return-other"
"201",1940,2020-07-20,"Juan Soriano","Leganés","Sevilla","Loan return-other"
"202",1941,2020-07-20,"Aleix Vidal","Alavés","Sevilla","Loan return-other"
"203",1965,2020-07-20,"Toni Lato","Osasuna","Valencia","Loan return-other"
"204",1970,2020-07-20,"Jaume Costa","Valencia","Villarreal","Loan return-other"
"205",1971,2020-07-20,"Alessandro Florenzi","Valencia"," Roma","Loan return-other"
"206",1972,2020-07-20,"Ezequiel Garay","Valencia","Unattached","Released-other"
"207",1982,2020-07-20,"Anuar Tuhami"," Panathinaikos","Valladolid","Loan return-other"
"208",1998,2020-07-20,"Matheus Fernandes","Valladolid"," Palmeiras","Loan return-other"
"209",1999,2020-07-20,"Raúl García","Valladolid","Getafe","Loan return-other"
"210",2000,2020-07-20,"Pedro Porro","Valladolid"," Manchester City","Loan return-other"
"211",2001,2020-07-20,"Sandro Ramírez","Valladolid"," Everton","Loan return-other"
"212",2002,2020-07-20,"Enes Ünal","Valladolid","Villarreal","Loan return-other"
"213",2016,2020-07-20,"Jaume Costa","Valencia","Villarreal","Loan return-other"
"214",2017,2020-07-20,"Alfonso Pedraza","Real Betis","Villarreal","Loan return-other"
"215",2018,2020-07-20,"Enes Ünal","Valladolid","Villarreal","Loan return-other"
"216",2030,2020-07-20,"Mariano Barbosa","Villarreal","Unattached","End of contract-other"
"217",2031,2020-07-20,"Bruno Soriano","Villarreal","Retired","Retired-Retired"
"218",2032,2020-07-20,"André-Frank Zambo Anguissa","Villarreal"," Fulham","Loan return-other"
"219",93,2020-07-21,"Zaid Al-Hussaini","Unattached","Crawley Town","Free"
"220",94,2020-07-21,"Brandon Comley","Colchester United","Bolton Wanderers","Free"
"221",95,2020-07-21,"Paul Digby","Stevenage","Cambridge United","Free"
"222",96,2020-07-21,"Max Ehmer","Gillingham","Bristol Rovers","Free"
"223",97,2020-07-21,"Nathan Ferguson","West Bromwich Albion","Crystal Palace","Free"
"224",98,2020-07-21,"Jordan Moore-Taylor","MK Dons","Forest Green Rovers","Free"
"225",99,2020-07-21,"Jerry Yates","Rotherham United","Blackpool","Free"
"226",580,2020-07-21,"Ciaron Brown","Cardiff City","Livingston","loan"
"227",581,2020-07-21,"Ryan Giles","Wolverhampton Wanderers","Coventry City","loan"
"228",852,2020-07-21,"Jacob Rasmussen","Fiorentina","Vitesse","Loan"
"229",1547,2020-07-21,"Adrián Diéguez","Alcorcón","Alavés","Loan return-other"
"230",1548,2020-07-21,"Saúl García","Rayo Vallecano","Alavés","Loan return-other"
"231",1549,2020-07-21,"Ramón Miérez","Tenerife","Alavés","Loan return-other"
"232",1550,2020-07-21,"Javi Muñoz","Tenerife","Alavés","Loan return-other"
"233",1642,2020-07-21,"David Carmona","Racing Santander","Cádiz","Loan return-other"
"234",1643,2020-07-21,"Javi Navarro","Ponferradina","Cádiz","Loan return-other"
